S1	S2	S3	S4	S5	L1	L2	L3	L4	L5	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	1	0	0	0	0	1	
0	0	0	1	0	0	0	0	1	0	
0	0	0	1	1	0	0	0	1	1	
0	0	1	0	0	0	0	1	0	0	
0	0	1	0	1	0	0	1	0	1	
0	0	1	1	0	0	0	1	1	0	
0	0	1	1	1	0	0	1	1	1	
0	1	0	0	0	0	1	0	0	0	
0	1	0	0	1	0	1	0	0	1	
0	1	0	1	0	0	1	0	1	0	
0	1	0	1	1	0	1	0	1	1	
0	1	1	0	0	0	1	1	0	0	
0	1	1	0	1	0	1	1	0	1	
0	1	1	1	0	0	1	1	1	0	
0	1	1	1	1	0	1	1	1	1	
1	0	0	0	0	0	1	0	0	0	
1	0	0	0	1	0	1	0	0	1	
1	0	0	1	0	0	1	0	1	0	
1	0	0	1	1	0	1	0	1	1	
1	0	1	0	0	0	1	1	0	0	
1	0	1	0	1	0	1	1	0	1	
1	0	1	1	0	0	1	1	1	0	
1	0	1	1	1	0	1	1	1	1	
1	1	0	0	0	1	1	0	0	0	
1	1	0	0	1	1	1	0	0	1	
1	1	0	1	0	1	1	0	1	0	
1	1	0	1	1	1	1	0	1	1	
1	1	1	0	0	1	1	1	0	0	
1	1	1	0	1	1	1	1	0	1	
1	1	1	1	0	1	1	1	1	0	
1	1	1	1	1	1	1	1	1	1	
